# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Mon Aug 28 14:33:21 CEST 2017

# Wavelength:								0.0	0.0	0.0	0.0	0.0	0.0	443.0	482.6	561.3	654.60004	864.6	1609.0	2201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	albedo_vis	flh	index_flags	muschelindex	muschelindex_nds	ndvi	reflec_443	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_2201	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steig_blue_nir_mal_blue	steigung_nIR_SWIR1	steigung_red_nIR	summary_error	tsx_mean	tsx_skew	tsx_stdv
pin_33	2219.500049600393	3550.509220998082	8.821385	54.27793000000006	java.awt.Color[r=0,g=0,b=255]	Pin 33		0.036021832	0.004110303	0.0	0.07918971	0.052710805	0.2739447	0.010056401	0.016796587	0.0377222	0.05354671	0.093953654	0.07309487	0.042727124	0.1080655	0.52541	0.29619786	0.17839213	0.07663825	-0.02802094	0.19241403	0.00493748	0.0	0.0	0.0
pin_39	2210.500791811047	3635.4934067607546	8.81734	54.25500999999999	java.awt.Color[r=0,g=0,b=255]	Pin 39		0.038428474	0.0042900024	0.0	0.072722994	0.039054304	0.23921928	0.012582103	0.020444816	0.040324435	0.054516166	0.08880021	0.066053525	0.039844256	0.11528542	0.46673158	0.36011112	0.1731573	0.07259657	-0.03055707	0.16325735	0.0024398074	0.0	0.0	0.0
pin_40	2161.500388040976	3939.5058533502743	8.795182	54.17300399999999	java.awt.Color[r=0,g=0,b=255]	Pin 40		0.03654908	0.006749144	0.0	0.0674633	0.039007556	0.24383189	0.010719711	0.017485416	0.04006931	0.052092515	0.085687734	0.04355184	0.025149276	0.109647244	0.25638655	0.5906708	0.1529426	0.07196256	-0.056603838	0.15997726	0.0030010121	0.0	0.0	0.0
pin_45	2494.5014582938047	4286.505146257238	8.948338	54.079605	java.awt.Color[r=0,g=0,b=255]	Pin 45		0.04003574	0.0041358136	0.0	0.08005672	0.039813977	0.23563142	0.01151059	0.02080199	0.041753113	0.057552114	0.09303522	0.08097811	0.04811018	0.12010722	0.5959876	0.23874755	0.16526483	0.07679521	-0.016197087	0.16896719	0.0031882601	0.0	0.0	0.0
pin_46	2365.5000652447807	4393.498524299978	8.889262	54.050715999999944	java.awt.Color[r=0,g=0,b=255]	Pin 46		0.031863358	0.0027745366	0.0	0.060540132	0.036727134	0.24305108	0.006561229	0.013480013	0.032696314	0.049413748	0.081146576	0.02679038	0.009484838	0.09559008	0.08509523	0.73598987	0.1789149	0.06627113	-0.073020145	0.15110871	0.0048796018	0.0	0.0	0.0
pin_53	2269.4996923591166	4709.507517064518	8.845588	53.96546000000001	java.awt.Color[r=0,g=0,b=255]	Pin 53		0.03726342	0.0067993198	0.0	0.0813726	0.0587462	0.28803474	0.011408532	0.018046683	0.040809162	0.052934416	0.09576502	0.08016173	0.050482806	0.11179026	0.60475683	0.2163669	0.17887627	0.07799484	-0.020960893	0.20395526	0.0044147954	0.0	0.0	0.0
pin_63	2347.5	3594.5000000000623	8.880394357213534	54.26614192729776	java.awt.Color[r=0,g=0,b=255]	Pin 63		0.033351563	0.004542319	0.0	0.071751505	0.049978126	0.2733784	0.006561229	0.013709618	0.03532406	0.05102101	0.0894125	0.045949977	0.017674226	0.10005469	0.23956805	0.606862	0.15356997	0.07530064	-0.058385987	0.18281665	0.0062581394	0.0	0.0	0.0
pin_4	1734.4994298959928	1330.5046355374468	8.591993	54.875916000000025	java.awt.Color[r=0,g=0,b=255]	Pin 4		0.0353245	0.0013652965	0.0	0.06519833	0.042479377	0.25732654	0.015362913	0.020546867	0.03540059	0.050026037	0.08469276	0.06574738	0.028593414	0.1059735	0.4239465	0.36080724	0.21524625	0.06566998	-0.02545054	0.16507965	0.0041140555	0.0	0.0	0.0
pin_30	1495.4995320725448	1314.5036033173965	8.480199999999998	54.87980300000001	java.awt.Color[r=0,g=0,b=255]	Pin 30		0.031625245	0.002162465	0.0	0.052478336	0.039158836	0.26103216	0.013372967	0.017970143	0.03231363	0.044591956	0.07609518	0.038806587	0.01397497	0.09487573	0.19338712	0.56145334	0.24515957	0.05685628	-0.050092146	0.15001537	0.0033547718	0.0	0.0	0.0
pin_31	1436.5005617622305	1309.502735974857	8.452595999999987	54.88103	java.awt.Color[r=0,g=0,b=255]	Pin 31		0.025646903	0.0017178264	0.0	0.043166377	0.0456718	0.29816943	0.0096226875	0.012995278	0.026088672	0.037856758	0.07002329	0.005793909	8.872539E-4	0.07694071	-0.069119185	0.79546356	0.2736556	0.05056743	-0.08628343	0.15317398	0.0041256472	0.0	0.0	0.0
